	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
20	-0.34946436	-0.2913247	-0.16038358	-1.5102211	0.39599636	0.27751002	0.62831134	1.0704842	2.3391986	1.5518682	-0.105901115	0.91828954	-0.2668383	0.037468225	-1.0334541	-1.1742314	0.9225415	0.48998427	0.8207549	2.19953	-1.2113303	-0.29867572	-0.38416395	-0.7246772	-0.7972648	1.079337	-0.9011962	-0.06573946	-1.4024873	0.66828	-1.7115744	0.6134085	-0.33223778	-0.20588118	-0.469146	0.25648835	-0.678129	-0.97411746	1.5629987	-1.0000852	1.3435968	-0.43618444	-0.09886736	0.469478	0.49094245	-0.5266869	-1.5164504	-0.77868557
21	-0.34804434	-0.30275652	-0.15779625	-1.5245152	0.40433636	0.26139787	0.62535256	1.0622833	2.316099	1.5248768	-0.107723966	0.8980586	-0.2970262	0.0557456	-1.0082614	-1.1649368	0.9314951	0.48027727	0.8193085	2.1959016	-1.2545786	-0.28988865	-0.3949693	-0.74986345	-0.78724146	1.0757235	-0.88786876	-0.05542147	-1.4094646	0.66135794	-1.6762393	0.61352545	-0.33276403	-0.2141689	-0.43432984	0.2668076	-0.69123363	-0.9939397	1.5777359	-0.99117434	1.3428186	-0.42109182	-0.08969121	0.47042087	0.46610206	-0.51660305	-1.502097	-0.7922931
22	-0.38540202	-0.32946262	-0.14161196	-1.581064	0.4503619	0.27990648	0.6633728	1.134135	2.4668336	1.6405634	-0.11655645	0.9657841	-0.26361188	0.046624158	-1.1124437	-1.2028682	0.9861921	0.46330267	0.83147675	2.2552917	-1.3073578	-0.32521746	-0.38915664	-0.7548498	-0.78276885	1.1433322	-0.95778716	-0.0956167	-1.4934587	0.68665266	-1.8107122	0.66626304	-0.34095192	-0.20320204	-0.4759579	0.2742224	-0.6740153	-1.0383832	1.6402392	-0.989412	1.4091442	-0.49399567	-0.09474102	0.47375235	0.5347105	-0.5191448	-1.4952382	-0.8255051
23	-0.30333012	-0.25418282	-0.16931054	-1.4553893	0.36078623	0.2925709	0.58823985	1.0161018	2.2529175	1.5038282	-0.099111035	0.91847026	-0.2429416	0.053901266	-0.9881787	-1.1418884	0.917365	0.49078825	0.8033656	2.152214	-1.1549618	-0.2821273	-0.37973812	-0.69879353	-0.78925055	1.0516607	-0.8595493	-0.058130868	-1.3562237	0.65984684	-1.6402186	0.5704224	-0.29948354	-0.1892334	-0.46333015	0.26510254	-0.65542084	-0.94205564	1.5326943	-0.9530998	1.2773588	-0.41088495	-0.12680645	0.4435986	0.44888034	-0.50335586	-1.5142128	-0.75508076
24	-0.35467157	-0.30115125	-0.14141056	-1.5381627	0.3982778	0.2814517	0.6231928	1.0856239	2.3575735	1.5578408	-0.09771025	0.9411709	-0.27891564	0.04324829	-1.0603268	-1.1685741	0.9420928	0.47688484	0.8395636	2.2185602	-1.2434448	-0.28587282	-0.41179076	-0.73393756	-0.80108184	1.1062132	-0.90046453	-0.081442244	-1.4120971	0.66365117	-1.7345684	0.61166835	-0.314539	-0.18907171	-0.4699922	0.25425166	-0.67480165	-0.97684324	1.5885258	-0.97644466	1.3427423	-0.45980966	-0.111962326	0.48701978	0.4996377	-0.5165726	-1.507155	-0.80152833
25	-0.34052482	-0.28454107	-0.12932764	-1.4980701	0.39119437	0.28023192	0.6000103	1.0660104	2.3220189	1.5516013	-0.1001659	0.9404158	-0.26307955	0.054237846	-1.04411	-1.1546991	0.9136289	0.48589948	0.80887043	2.1770205	-1.2139534	-0.28622463	-0.39822304	-0.73022574	-0.78467095	1.0946869	-0.8812812	-0.07129731	-1.3788134	0.6673323	-1.7063632	0.609673	-0.30337757	-0.20463562	-0.4690122	0.26389807	-0.65550375	-0.96271884	1.5720907	-0.9605589	1.3286245	-0.43181923	-0.10390183	0.47442743	0.48170713	-0.5051539	-1.4894598	-0.7671518
26	-0.38531274	-0.3288585	-0.17365839	-1.592014	0.42455226	0.2885693	0.6683317	1.141833	2.4741542	1.6456598	-0.12076424	0.9558706	-0.27624476	0.04990901	-1.0956718	-1.2345781	0.9619446	0.5019127	0.8437982	2.2980022	-1.2789391	-0.33458564	-0.41017324	-0.7545048	-0.82764995	1.1463375	-0.9633713	-0.06573606	-1.4794315	0.6936964	-1.8075494	0.6571484	-0.35643315	-0.21939898	-0.49365693	0.28214929	-0.71182907	-1.0297363	1.6339833	-1.0556866	1.4030141	-0.48084664	-0.112167045	0.475109	0.5184514	-0.53903604	-1.5715904	-0.8239478
27	-0.39301395	-0.332747	-0.15215842	-1.6402695	0.44983965	0.27982268	0.6808064	1.1721829	2.5530975	1.7070116	-0.13450879	0.9997503	-0.29433447	0.05290114	-1.1288611	-1.2697874	0.9878699	0.5244341	0.8607912	2.3811386	-1.3457346	-0.3504733	-0.4037179	-0.79318786	-0.85095495	1.1819898	-1.0034034	-0.057695296	-1.5303853	0.739743	-1.8624808	0.70493186	-0.3786015	-0.21173939	-0.49823248	0.2980559	-0.75066274	-1.0473808	1.7058872	-1.1027405	1.4617128	-0.48429632	-0.09096633	0.4893985	0.5296133	-0.569952	-1.6329086	-0.84244335
28	-0.33235693	-0.27725634	-0.14170459	-1.4173816	0.3737836	0.27738932	0.58591425	1.0249535	2.2093122	1.5033263	-0.09671708	0.90936095	-0.22948556	0.033937648	-0.9965965	-1.1412362	0.8953915	0.46294558	0.8086778	2.081617	-1.1462635	-0.26277488	-0.3784472	-0.678453	-0.75815356	1.0752854	-0.85923785	-0.042179238	-1.3492413	0.6445275	-1.6189072	0.5695026	-0.29910392	-0.19484058	-0.4413602	0.2578048	-0.6352309	-0.92791206	1.5080756	-0.9333696	1.2767861	-0.40288314	-0.11664437	0.46285498	0.4518685	-0.50682354	-1.4264755	-0.7355537
29	-0.31433445	-0.27072448	-0.13273416	-1.4028139	0.38383165	0.25688314	0.581358	0.98783445	2.1734624	1.4310032	-0.10897545	0.8470931	-0.2518954	0.04652484	-0.9541892	-1.0728163	0.8557178	0.45985848	0.7606037	2.0585346	-1.151176	-0.2794515	-0.3425646	-0.68462604	-0.721483	0.99809957	-0.8320816	-0.055122603	-1.3185871	0.62267137	-1.5944434	0.57267976	-0.28354704	-0.212701	-0.4285084	0.2577286	-0.61537737	-0.9173085	1.4677684	-0.91165733	1.2444735	-0.40048	-0.084660955	0.43465674	0.4394951	-0.46964002	-1.3946412	-0.7222757
