	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
20	0.47609308	2.0307295	1.519132	1.3727796	-0.23168513	-1.0137748	2.0474365	-2.872224	-1.252823	-1.4673071	2.0211365	-2.8503408	-0.41849545	1.803737	-2.4296947	-1.5650104	-0.42178133	0.3758774	-0.8225055	3.6551712	-0.015407968	0.31526107	0.5044858	-2.8225036	0.25058812	-3.2756417	0.6094156	-1.6193956	-0.10657844	-1.9047521	1.3570182	0.099792145	0.8774271	-0.6341048	3.0996501	-1.3068402	-3.4201772	-1.9215435	-0.49004912	-0.41870582
21	0.4605028	2.0570416	1.4967723	1.3906053	-0.23324686	-1.0151651	2.0320773	-2.8615153	-1.2546215	-1.4312856	1.9706533	-2.8187993	-0.42227182	1.7597286	-2.395875	-1.5712363	-0.44035915	0.3759868	-0.8058137	3.6249034	0.0003563994	0.31785598	0.49626827	-2.8033507	0.22663166	-3.2464957	0.6050147	-1.6142024	-0.0797738	-1.9004506	1.3515593	0.121240415	0.88531244	-0.6350612	3.0579174	-1.2966139	-3.3919475	-1.9094156	-0.46749353	-0.4210577
22	0.43938747	2.170219	1.5987133	1.4702896	-0.2972228	-1.1017609	2.156994	-3.0379105	-1.3506899	-1.442565	2.0672529	-2.8844607	-0.45766997	1.8532777	-2.5413587	-1.7257986	-0.5280749	0.41709173	-0.83341515	3.8118064	0.02446755	0.3469564	0.49510887	-2.9790864	0.24375825	-3.4133053	0.66418767	-1.6779112	-0.098427214	-2.033848	1.4242517	0.13917235	0.9113802	-0.7041164	3.2304423	-1.3602054	-3.5825493	-1.9930353	-0.44163498	-0.5446762
23	0.4673665	2.0241783	1.458379	1.354834	-0.21018618	-0.9305812	1.9562105	-2.755224	-1.1990676	-1.4500988	1.9653533	-2.7608047	-0.41263026	1.7062815	-2.3616712	-1.5436212	-0.42497778	0.3474653	-0.76336294	3.5216641	-0.032550853	0.30056027	0.5332883	-2.7500403	0.2710448	-3.1846716	0.6315346	-1.5742741	-0.11438502	-1.8144832	1.3284101	0.06773981	0.80247927	-0.6083407	3.0194209	-1.1890174	-3.3028924	-1.8526535	-0.50015813	-0.44591582
24	0.4567507	2.0581431	1.5388572	1.4073771	-0.26563707	-1.0243683	2.0514188	-2.8812416	-1.2662117	-1.4959054	2.0364962	-2.868749	-0.39073053	1.8191131	-2.4394844	-1.5732106	-0.44183567	0.36079812	-0.83331925	3.6790247	-0.013347624	0.325355	0.5360903	-2.8451326	0.23892085	-3.3256967	0.63405615	-1.6214266	-0.10484801	-1.9035567	1.3695636	0.092262216	0.8771951	-0.6256874	3.1121051	-1.304881	-3.4255683	-1.9178238	-0.476373	-0.41795498
25	0.44294417	2.0429282	1.4929956	1.385124	-0.23837206	-1.0011855	2.0225203	-2.844058	-1.2414402	-1.4292369	1.9820617	-2.7865112	-0.41320083	1.7719626	-2.391037	-1.5798322	-0.45915717	0.3651743	-0.7835574	3.5956917	-0.0056594796	0.3091112	0.5076247	-2.798855	0.24007893	-3.246468	0.62947917	-1.5960273	-0.11002814	-1.884455	1.3346732	0.10691735	0.87848055	-0.6353039	3.0356967	-1.2680315	-3.3564513	-1.877898	-0.4505494	-0.43297076
26	0.4550868	2.149466	1.5703402	1.4593345	-0.28914315	-1.1133634	2.1479008	-3.023064	-1.3346442	-1.4950266	2.090838	-2.9742825	-0.4132567	1.870994	-2.4847507	-1.6388783	-0.51264447	0.3821737	-0.83937865	3.8219752	0.01583518	0.3254858	0.5619121	-2.9134772	0.19986865	-3.446475	0.66428953	-1.6834418	-0.11337004	-1.9929303	1.4010301	0.1567372	0.9383615	-0.6443977	3.2202528	-1.3735803	-3.5449507	-1.9840546	-0.45001283	-0.46210158
27	0.47076648	2.199991	1.6395091	1.4960076	-0.28368765	-1.1362371	2.2452676	-3.134984	-1.4085574	-1.5338925	2.2041	-3.0872881	-0.4334554	1.9673555	-2.6106327	-1.6870109	-0.49862105	0.41166428	-0.8768459	3.9708686	0.0052024694	0.32239282	0.5801882	-3.0230894	0.22456834	-3.5836182	0.6806191	-1.7543793	-0.11917069	-2.0807953	1.4555407	0.16019686	0.994426	-0.6601955	3.3616617	-1.4296507	-3.7046657	-2.0795453	-0.4740983	-0.45457268
28	0.50508994	1.993386	1.4318066	1.3510541	-0.18535143	-0.9237391	1.9241362	-2.671891	-1.1515044	-1.4396986	1.944944	-2.697243	-0.3918213	1.6588506	-2.277606	-1.5201665	-0.4183178	0.36044142	-0.7050256	3.429796	-0.015872773	0.29118276	0.52781177	-2.7443748	0.24684979	-3.175119	0.6452886	-1.5172818	-0.1287227	-1.7455188	1.3095027	0.08946136	0.7906953	-0.62682956	2.977351	-1.1643618	-3.211344	-1.8075416	-0.4660346	-0.45118308
29	0.43999913	1.9399462	1.433969	1.3430442	-0.20720771	-0.95173347	1.9364916	-2.6834004	-1.1503013	-1.3509264	1.8819793	-2.6068397	-0.39859182	1.6559043	-2.2845569	-1.5176338	-0.44352946	0.3575108	-0.7479814	3.3838277	-0.011630557	0.3117224	0.45621702	-2.6862583	0.24085209	-3.092497	0.584323	-1.5038749	-0.11020332	-1.7917296	1.274649	0.10182148	0.8041748	-0.6245702	2.8429558	-1.1838993	-3.1778991	-1.764308	-0.42574766	-0.4203509
30	0.46936062	2.0467274	1.5178428	1.384761	-0.24265024	-1.0127943	2.0434413	-2.8692918	-1.249643	-1.461084	2.0197155	-2.8580325	-0.41353342	1.7954605	-2.4081264	-1.5559108	-0.4377267	0.37921074	-0.81075853	3.6522145	-0.0012132988	0.31354335	0.5099044	-2.821198	0.2413109	-3.2924833	0.612665	-1.6127253	-0.11168048	-1.8900206	1.3571113	0.10701373	0.8876622	-0.62461656	3.080717	-1.2988371	-3.4052353	-1.9044161	-0.4720604	-0.41545236
31	0.50620234	2.1428914	1.6055329	1.4984714	-0.24930152	-1.0952952	2.1699204	-3.0112748	-1.2976133	-1.5510635	2.114322	-3.007909	-0.4360019	1.8393426	-2.538822	-1.6621097	-0.49342546	0.40607688	-0.8210402	3.8359647	-0.011120485	0.3807914	0.5110738	-2.9900618	0.23542279	-3.487072	0.64637303	-1.690931	-0.09724805	-2.0040767	1.4496249	0.10475105	0.91532946	-0.6828584	3.1963868	-1.3577307	-3.5422704	-1.9969912	-0.48166206	-0.45575762
32	0.4661514	2.0597744	1.5347866	1.4241245	-0.23577684	-1.0461605	2.0775394	-2.901855	-1.2704961	-1.44998	2.0374956	-2.8564801	-0.4184391	1.7882656	-2.4210284	-1.5807765	-0.46352646	0.39732343	-0.82538515	3.6539907	0.027499516	0.34246477	0.5071685	-2.8500102	0.22043131	-3.3509834	0.6351373	-1.5860524	-0.1362578	-1.9103042	1.3723987	0.13529655	0.8946159	-0.6271922	3.098088	-1.3114777	-3.4275146	-1.9237318	-0.46620446	-0.4324128
33	0.49320132	1.9848322	1.4652297	1.3719859	-0.21521819	-1.017278	2.0375166	-2.7919395	-1.2252054	-1.3921181	1.9447689	-2.7653344	-0.39777642	1.6918653	-2.3041875	-1.5447235	-0.43636867	0.34655398	-0.75155526	3.5168328	0.014857766	0.3245257	0.5068342	-2.7467642	0.19880323	-3.2117238	0.5948806	-1.541726	-0.10822916	-1.849917	1.3271986	0.17835201	0.83760726	-0.63676196	3.0044713	-1.2741532	-3.2995741	-1.8455386	-0.42206308	-0.47994775
34	0.48233625	1.959647	1.3901277	1.3025473	-0.16371578	-0.8512264	1.832376	-2.5758018	-1.0969079	-1.4297438	1.8952692	-2.6153736	-0.37464237	1.6305081	-2.2645223	-1.4847537	-0.40130123	0.33583066	-0.70585835	3.3272712	-0.05642767	0.2587525	0.5284779	-2.6612983	0.302429	-3.049156	0.6313646	-1.5079721	-0.12260835	-1.7094064	1.2509515	0.032751575	0.71955943	-0.60716194	2.9017146	-1.0731705	-3.1382916	-1.7558719	-0.49126923	-0.43228388
